	Origin	Destination	ShortName	TimeRetr	Route	Dist	CurrentTime	TimeRange	url	nDist	nTime
90	8	24	Sky	2015-08-13 15:57:28.072776	I-90 E and I-65 S	46.2 miles	1 h	56 min - 1 h 8 min	https://www.google.com/maps/dir/875+E+87th+St,+Chicago,+IL+60619/14500+Morse+St,+Cedar+Lake,+IN+46303/@41.5906533,-87.4615984,25945m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e28a08ee8fa79:0xbbb3cf56caa61ee8!2m2!1d-87.60178!2d41.736518!3m4!1m2!1d-87.5190278!2d41.6649575!3s0x8811d8c7efa45113:0x65455df9652b3d6!1m5!1m1!1s0x8811fbb4df27c617:0x9c37d3a830923b1c!2m2!1d-87.4218064!2d41.3551184!3e0	46.2	60
124	8	25	Sky	2015-08-13 15:57:48.455029	I-90 E and IN-49 S	55.3 miles	1 h 4 min	1 h - 1 h 15 min	https://www.google.com/maps/dir/875+E+87th+St,+Chicago,+IL+60619/199+E+Indiana+Ave,+Kouts,+IN+46347/@41.6578587,-87.5399127,15452m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e28a08ee8fa79:0xbbb3cf56caa61ee8!2m2!1d-87.60178!2d41.736518!3m4!1m2!1d-87.5190083!2d41.6649002!3s0x8811d8c7efa45113:0x65455df9652b3d6!1m5!1m1!1s0x8811867e866ea59f:0x18dd56f7f4a462dd!2m2!1d-87.0246114!2d41.3183005!3e0	55.3	64
141	8	25	BF	2015-08-13 15:57:57.794565	I-94 E	56.7 miles	1 h 9 min	1 h 2 min - 1 h 21 min	https://www.google.com/maps/dir/875+E+87th+St,+Chicago,+IL+60619/199+E+Indiana+Ave,+Kouts,+IN+46347/@41.5657242,-87.5550088,7713m/data=!3m1!1e3!4m21!4m20!1m10!1m1!1s0x880e28a08ee8fa79:0xbbb3cf56caa61ee8!2m2!1d-87.60178!2d41.736518!3m4!1m2!1d-87.5769209!2d41.5782005!3s0x880e202b1cd1c9f3:0x3893de4e8591ce88!1m5!1m1!1s0x8811867e866ea59f:0x18dd56f7f4a462dd!2m2!1d-87.0246114!2d41.3183005!2m1!2b1!3e0	56.7	69
10	8	26	Sky	2015-08-13 15:56:43.089830	I-90 E	30.6 miles	38 min	35 - 44 min	https://www.google.com/maps/dir/Chicago,+IL+60619/41.5881995,-87.1836656/@41.6729822,-87.4954778,11.5z/data=!4m14!4m13!1m10!1m1!1s0x880e28a0616d320f:0x334d97a0858b0239!2m2!1d-87.601192!2d41.7366924!3m4!1m2!1d-87.5191732!2d41.6653735!3s0x8811d8c7efa45113:0x65455df9652b3d6!1m0!3e0	30.6	38
27	8	26	BF	2015-08-13 15:56:52.492513	I-94 E	35.2 miles	46 min	39 - 58 min	https://www.google.com/maps/dir/Chicago,+IL+60619/41.5881995,-87.1836656/@41.5778752,-87.4242638,11.25z/data=!4m16!4m15!1m10!1m1!1s0x880e28a0616d320f:0x334d97a0858b0239!2m2!1d-87.601192!2d41.7366924!3m4!1m2!1d-87.4318195!2d41.5699134!3s0x8811e7631fae9aeb:0x1fd344a9c675a071!1m0!2m1!2b1!3e0	35.2	46
11	9	20	Sky	2015-08-13 15:56:43.567016	I-55 N	24.3 miles	48 min	37 min - 1 h 3 min	https://www.google.com/maps/dir/6401+W+Archer+Ave,+Chicago,+IL+60638/41.658386,+-87.559140/@41.6839383,-87.5961397,15372m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e36ce8df897d5:0xf60d85e1d73720e1!2m2!1d-87.7821987!2d41.7921554!3m4!1m2!1d-87.5607646!2d41.7249276!3s0x880e27dd3707d243:0xdde60fc22d92a88e!1m5!1m1!1s0x0:0x0!2m2!1d-87.55914!2d41.658386!3e0	24.3	48
33	9	20	BF_DR	2015-08-13 15:56:55.865097	I-94 E	25.7 miles	46 min	33 min - 1 h 8 min	https://www.google.com/maps/dir/6401+W+Archer+Ave,+Chicago,+IL+60638/41.658386,+-87.559140/@41.7291199,-87.6517913,25359m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e36ce8df897d5:0xf60d85e1d73720e1!2m2!1d-87.7821987!2d41.7921554!3m4!1m2!1d-87.6261232!2d41.7723968!3s0x880e2ed86a682acb:0x29de6e057e2e53e8!1m5!1m1!1s0x0:0x0!2m2!1d-87.55914!2d41.658386!3e0	25.7	46
110	9	20	TRI	2015-08-13 15:57:39.741624	I-294 S	33.7 miles	41 min	40 - 55 min	https://www.google.com/maps/dir/6401+W+Archer+Ave,+Chicago,+IL+60638/41.658386,+-87.559140/@41.6132594,-87.8590839,51745m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e36ce8df897d5:0xf60d85e1d73720e1!2m2!1d-87.7821987!2d41.7921554!3m4!1m2!1d-87.7253574!2d41.6520212!3s0x880e3c9b13abcd19:0x3ca3c2c7bf9d6fca!1m5!1m1!1s0x0:0x0!2m2!1d-87.55914!2d41.658386!3e0	33.7	41
14	9	21	BF_DR	2015-08-13 15:56:45.168294	I-94 E	43.2 miles	1 h 5 min	50 min - 1 h 32 min	https://www.google.com/maps/dir/6401+W+Archer+Ave,+Chicago,+IL+60638/Gleason+Park,+3400+Jefferson+Street,+Gary,+IN+46406/@41.569462,-87.6042213,61703m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e36ce8df897d5:0xf60d85e1d73720e1!2m2!1d-87.7821987!2d41.7921554!3m4!1m2!1d-87.5785913!2d41.6414449!3s0x880e20d8ae494f1f:0xe04c790bc9eb5adc!1m5!1m1!1s0x8811e9d33a4155a9:0xd2b45f5dbe15a037!2m2!1d-87.3406427!2d41.5638849!3e0	43.2	65
73	9	21	TRI	2015-08-13 15:57:18.568741	I-294 S and I-80 E	40.0 miles	49 min	46 min - 1 h 6 min	https://www.google.com/maps/dir/6401+W+Archer+Ave,+Chicago,+IL+60638/Gleason+Park,+3400+Jefferson+Street,+Gary,+IN+46406/@41.5926628,-87.60267,10911m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e36ce8df897d5:0xf60d85e1d73720e1!2m2!1d-87.7821987!2d41.7921554!3m4!1m2!1d-87.5836393!2d41.5776098!3s0x880e21d5d85ef9ef:0x75a5225f57eddfd3!1m5!1m1!1s0x8811e9d33a4155a9:0xd2b45f5dbe15a037!2m2!1d-87.3406427!2d41.5638849!3e0	40.0	49
