	Origin	Destination	ShortName	TimeRetr	Route	Dist	CurrentTime	TimeRange	url	nDist	nTime
122	2	26	Sky	2015-08-13 15:57:47.311473	I-90 W	54.1 miles	1 h 36 min	1 h 7 min - 2 h 43 min	https://www.google.com/maps/dir/41.5881995,-87.1836656/Niles,+IL+60714/@41.6666556,-87.5181666,14.25z/data=!4m14!4m13!1m5!3m4!1m2!1d-87.5200466!2d41.6685829!3s0x8811d8bf43966913:0x6b98833cdc1c4d67!1m5!1m1!1s0x880fc8f84469e011:0xedc834dbc6e869eb!2m2!1d-87.8139926!2d42.026102!3e0	54.1	96
34	3	20	TRI	2015-08-13 15:56:56.437793	I-294 S	52.6 miles	1 h 4 min	54 min - 1 h 18 min	https://www.google.com/maps/dir/189+Fullerton+Ave,+Glendale+Heights,+IL+60139/41.658386,+-87.559140/@41.6062151,-87.6890307,3236m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880faca4b73fe245:0xe2ddecf941bf48a1!2m2!1d-88.0803339!2d41.9175625!3m4!1m2!1d-87.6812648!2d41.6040768!3s0x880e22c3c48368ed:0xb33f749bb2239b51!1m5!1m1!1s0x0:0x0!2m2!1d-87.55914!2d41.658386!3e0	52.6	64
103	3	20	Sky	2015-08-13 15:57:35.657197	I-290 E	48.1 miles	1 h 40 min	1 h 4 min - 2 h 17 min	https://www.google.com/maps/dir/189+Fullerton+Ave,+Glendale+Heights,+IL+60139/41.658386,+-87.559140/@41.7200129,-87.5747743,10898m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880faca4b73fe245:0xe2ddecf941bf48a1!2m2!1d-88.0803339!2d41.9175625!3m4!1m2!1d-87.5550489!2d41.7272184!3s0x880e27e68976a87f:0xe47302de630872e8!1m5!1m1!1s0x0:0x0!2m2!1d-87.55914!2d41.658386!3e0	48.1	100
119	3	20	BF_DR	2015-08-13 15:57:45.384189	I-290 E	49.4 miles	1 h 43 min	1 h - 2 h 32 min	https://www.google.com/maps/dir/189+Fullerton+Ave,+Glendale+Heights,+IL+60139/41.658386,+-87.559140/@41.7338985,-87.6368285,21808m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880faca4b73fe245:0xe2ddecf941bf48a1!2m2!1d-88.0803339!2d41.9175625!3m4!1m2!1d-87.6318599!2d41.8063177!3s0x880e2ea4c43b6ad5:0x7e1b1b997109886c!1m5!1m1!1s0x0:0x0!2m2!1d-87.55914!2d41.658386!3e0	49.4	103
59	3	21	TRI	2015-08-13 15:57:10.569040	I-294 S	58.9 miles	1 h 12 min	1 h - 1 h 29 min	https://www.google.com/maps/dir/189+Fullerton+Ave,+Glendale+Heights,+IL+60139/Gleason+Park,+3400+Jefferson+Street,+Gary,+IN+46406/@41.6657813,-87.7540556,4582m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880faca4b73fe245:0xe2ddecf941bf48a1!2m2!1d-88.0803339!2d41.9175625!3m4!1m2!1d-87.7556479!2d41.667851!3s0x880e3bee57eb3a97:0x3fcb7802ce89dbe9!1m5!1m1!1s0x8811e9d33a4155a9:0xd2b45f5dbe15a037!2m2!1d-87.3406427!2d41.5638849!3e0	58.9	72
65	3	21	Sky	2015-08-13 15:57:14.107284	I-90 E	69.9 miles	2 h 5 min	1 h 28 min - 2 h 47 min	https://www.google.com/maps/dir/189+Fullerton+Ave,+Glendale+Heights,+IL+60139/Gleason+Park,+3400+Jefferson+Street,+Gary,+IN+46406/@41.6345185,-87.6253231,43593m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880faca4b73fe245:0xe2ddecf941bf48a1!2m2!1d-88.0803339!2d41.9175625!3m4!1m2!1d-87.5499136!2d41.7239699!3s0x880e27efe3f2a53d:0x6e6547dd38cdec18!1m5!1m1!1s0x8811e9d33a4155a9:0xd2b45f5dbe15a037!2m2!1d-87.3406427!2d41.5638849!3e0	69.9	125
99	3	22	TRI	2015-08-13 15:57:33.450139	I-294 S	61.0 miles	1 h 17 min	1 h 4 min - 1 h 37 min	https://www.google.com/maps/dir/189+Fullerton+Ave,+Glendale+Heights,+IL+60139/598+E+Dunes+Hwy,+Gary,+IN+46402/@41.6158657,-87.7326511,15409m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880faca4b73fe245:0xe2ddecf941bf48a1!2m2!1d-88.0803339!2d41.9175625!3m4!1m2!1d-87.7253113!2d41.6519397!3s0x880e3c9b13abcd19:0x3ca3c2c7bf9d6fca!1m5!1m1!1s0x8811c24fc629e9c3:0xf804ea068e5e7b8c!2m2!1d-87.329723!2d41.6020873!3e0	61.0	77
101	3	22	Sky	2015-08-13 15:57:34.557315	I-90 E	60.4 miles	1 h 46 min	1 h 10 min - 2 h 24 min	https://www.google.com/maps/dir/189+Fullerton+Ave,+Glendale+Heights,+IL+60139/598+E+Dunes+Hwy,+Gary,+IN+46402/@41.6891333,-87.6829891,21763m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880faca4b73fe245:0xe2ddecf941bf48a1!2m2!1d-88.0803339!2d41.9175625!3m4!1m2!1d-87.5206541!2d41.6695655!3s0x8811d8bf4129bfed:0xe9a1a6b776b79943!1m5!1m1!1s0x8811c24fc629e9c3:0xf804ea068e5e7b8c!2m2!1d-87.329723!2d41.6020873!3e0	60.4	106
96	3	23	TRI	2015-08-13 15:57:31.663092	I-294 S	55.7 miles	1 h 13 min	1 h 1 min - 1 h 30 min	https://www.google.com/maps/dir/189+Fullerton+Ave,+Glendale+Heights,+IL+60139/899+E+Chicago+Ave,+East+Chicago,+IN+46312/@41.6201772,-87.7299422,30780m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880faca4b73fe245:0xe2ddecf941bf48a1!2m2!1d-88.0803339!2d41.9175625!3m4!1m2!1d-87.7251829!2d41.6516994!3s0x880e3c9b05144d9f:0xaf5b7e60492537c6!1m5!1m1!1s0x8811de9e69995165:0xc148f9a2c0dc6d25!2m2!1d-87.4617361!2d41.6292353!3e0	55.7	73
154	3	23	Sky	2015-08-13 15:58:05.347750	I-290 E	53.4 miles	1 h 43 min	1 h 7 min - 2 h 21 min	https://www.google.com/maps/dir/189+Fullerton+Ave,+Glendale+Heights,+IL+60139/899+E+Chicago+Ave,+East+Chicago,+IN+46312/@41.6831496,-87.59187,21752m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880faca4b73fe245:0xe2ddecf941bf48a1!2m2!1d-88.0803339!2d41.9175625!3m4!1m2!1d-87.5206831!2d41.6696476!3s0x8811d8bf4129bfed:0xe9a1a6b776b79943!1m5!1m1!1s0x8811de9e69995165:0xc148f9a2c0dc6d25!2m2!1d-87.4617361!2d41.6292353!3e0	53.4	103
138	3	24	Sky	2015-08-13 15:57:56.106077	I-90 E	85.8 miles	2 h 16 min	1 h 40 min - 2 h 58 min	https://www.google.com/maps/dir/189+Fullerton+Ave,+Glendale+Heights,+IL+60139/14500+Morse+St,+Cedar+Lake,+IN+46303/@41.6441571,-87.6863305,21787m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880faca4b73fe245:0xe2ddecf941bf48a1!2m2!1d-88.0803339!2d41.9175625!3m4!1m2!1d-87.5198319!2d41.6672388!3s0x8811d8c7efa45113:0x65455df9652b3d6!1m5!1m1!1s0x8811fbb4df27c617:0x9c37d3a830923b1c!2m2!1d-87.4218064!2d41.3551184!3e0	85.8	136
150	3	24	BF_DR	2015-08-13 15:58:02.677333	I-290 E	74.6 miles	2 h 21 min	1 h 37 min - 3 h 45 min	https://www.google.com/maps/dir/189+Fullerton+Ave,+Glendale+Heights,+IL+60139/14500+Morse+St,+Cedar+Lake,+IN+46303/@41.4738728,-87.5924232,36643m/data=!3m1!1e3!4m21!4m20!1m10!1m1!1s0x880faca4b73fe245:0xe2ddecf941bf48a1!2m2!1d-88.0803339!2d41.9175625!3m4!1m2!1d-87.5211342!2d41.4356071!3s0x8811e2959c1b780d:0x5adc48436e904956!1m5!1m1!1s0x8811fbb4df27c617:0x9c37d3a830923b1c!2m2!1d-87.4218064!2d41.3551184!2m1!2b1!3e0	74.6	141
160	3	24	TRI	2015-08-13 15:58:08.703641	I-294 S	68.1 miles	1 h 34 min	1 h 19 min - 1 h 55 min	https://www.google.com/maps/dir/189+Fullerton+Ave,+Glendale+Heights,+IL+60139/14500+Morse+St,+Cedar+Lake,+IN+46303/@41.6179413,-87.7475784,15430m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880faca4b73fe245:0xe2ddecf941bf48a1!2m2!1d-88.0803339!2d41.9175625!3m4!1m2!1d-87.7253857!2d41.6520712!3s0x880e3c9b13abcd19:0x3ca3c2c7bf9d6fca!1m5!1m1!1s0x8811fbb4df27c617:0x9c37d3a830923b1c!2m2!1d-87.4218064!2d41.3551184!3e0	68.1	94
29	3	25	TRI	2015-08-13 15:56:53.633420	I-294 S	89.7 miles	1 h 43 min	1 h 30 min - 2 h 4 min	https://www.google.com/maps/dir/189+Fullerton+Ave,+Glendale+Heights,+IL+60139/199+E+Indiana+Ave,+Kouts,+IN+46347/@41.6108226,-87.7230814,12984m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880faca4b73fe245:0xe2ddecf941bf48a1!2m2!1d-88.0803339!2d41.9175625!3m4!1m2!1d-87.725502!2d41.6522766!3s0x880e3c9b13abcd19:0x3ca3c2c7bf9d6fca!1m5!1m1!1s0x8811867e866ea59f:0x18dd56f7f4a462dd!2m2!1d-87.0246114!2d41.3183005!3e0	89.7	103
100	3	25	Sky	2015-08-13 15:57:34.026723	I-90 E	94.9 miles	2 h 21 min	1 h 44 min - 3 h 4 min	https://www.google.com/maps/dir/189+Fullerton+Ave,+Glendale+Heights,+IL+60139/199+E+Indiana+Ave,+Kouts,+IN+46347/@41.6650048,-87.6127608,25912m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880faca4b73fe245:0xe2ddecf941bf48a1!2m2!1d-88.0803339!2d41.9175625!3m4!1m2!1d-87.5208589!2d41.6701449!3s0x8811d8bf4129bfed:0xe9a1a6b776b79943!1m5!1m1!1s0x8811867e866ea59f:0x18dd56f7f4a462dd!2m2!1d-87.0246114!2d41.3183005!3e0	94.9	141
64	3	26	TRI	2015-08-13 15:57:13.568942	I-294 S and I-80 E	68.2 miles	1 h 21 min	1 h 8 min - 1 h 40 min	https://www.google.com/maps/dir/Glendale+Heights,+IL+60139/41.5881995,-87.1836656/@41.6109297,-87.7194166,12.75z/data=!4m14!4m13!1m10!1m1!1s0x880faca4bef686ed:0x2f675883a2272136!2m2!1d-88.0813785!2d41.9175173!3m4!1m2!1d-87.7251644!2d41.6516607!3s0x880e3c9b05144d9f:0xaf5b7e60492537c6!1m0!3e0	68.2	81
79	3	26	Sky	2015-08-13 15:57:22.002313	I-90 E	70.2 miles	1 h 53 min	1 h 18 min - 2 h 33 min	https://www.google.com/maps/dir/Glendale+Heights,+IL+60139/41.5881995,-87.1836656/@41.6707077,-87.6618258,12z/data=!4m14!4m13!1m10!1m1!1s0x880faca4bef686ed:0x2f675883a2272136!2m2!1d-88.0813785!2d41.9175173!3m4!1m2!1d-87.520385!2d41.6688043!3s0x8811d8bf4129bfed:0xe9a1a6b776b79943!1m0!3e0	70.2	113
94	4	20	BF_DR	2015-08-13 15:57:30.549587	I-94 E	15.1 miles	33 min	26 - 46 min	https://www.google.com/maps/dir/5527+S+Kimbark+Ave,+Chicago,+IL+60637/41.658386,+-87.559140/@41.7304322,-87.6522639,21768m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e2914a3cdd94d:0x8367567039a0c5e1!2m2!1d-87.594302!2d41.794155!3m4!1m2!1d-87.5945045!2d41.7105107!3s0x880e26416642eb95:0xa6e526788be0fccc!1m5!1m1!1s0x0:0x0!2m2!1d-87.55914!2d41.658386!3e0	15.1	33
108	4	20	Sky	2015-08-13 15:57:38.547100	S Torrence Ave	10.8 miles	28 min	26 - 35 min	https://www.google.com/maps/dir/5527+S+Kimbark+Ave,+Chicago,+IL+60637/41.658386,+-87.559140/@41.7030618,-87.5865966,9163m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e2914a3cdd94d:0x8367567039a0c5e1!2m2!1d-87.594302!2d41.794155!3m4!1m2!1d-87.5595633!2d41.700255!3s0x880e27a201c744c3:0x545c2cdde974206b!1m5!1m1!1s0x0:0x0!2m2!1d-87.55914!2d41.658386!3e0	10.8	28
133	4	20	BF	2015-08-13 15:57:53.249012	S Stony Island Ave	12.1 miles	30 min	26 - 41 min	https://www.google.com/maps/dir/5527+S+Kimbark+Ave,+Chicago,+IL+60637/41.658386,+-87.559140/@41.6770288,-87.5760899,10903m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e2914a3cdd94d:0x8367567039a0c5e1!2m2!1d-87.594302!2d41.794155!3m4!1m2!1d-87.5905005!2d41.7040869!3s0x880e265aa4baefc7:0x4e8b3d8b310cc160!1m5!1m1!1s0x0:0x0!2m2!1d-87.55914!2d41.658386!3e0	12.1	30
16	4	21	LS	2015-08-13 15:56:46.297200	US-41 S	26.7 miles	59 min	52 min - 1 h 11 min	https://www.google.com/maps/dir/5527+S+Kimbark+Ave,+Chicago,+IL+60637/Gleason+Park,+3400+Jefferson+Street,+Gary,+IN+46406/@41.6527469,-87.5101602,21766m/data=!3m1!1e3!4m24!4m23!1m15!1m1!1s0x880e2914a3cdd94d:0x8367567039a0c5e1!2m2!1d-87.594302!2d41.794155!3m4!1m2!1d-87.5414756!2d41.7275184!3s0x880e27f8fa97f937:0xeeef6d39d159c414!3m4!1m2!1d-87.480879!2d41.6437612!3s0x8811dec83d576373:0x52d64bc656227e56!1m5!1m1!1s0x8811e9d33a4155a9:0xd2b45f5dbe15a037!2m2!1d-87.3406427!2d41.5638849!3e0	26.7	59
51	4	21	Sky	2015-08-13 15:57:06.344700	I-90 E	25.4 miles	42 min	38 - 50 min	https://www.google.com/maps/dir/5527+S+Kimbark+Ave,+Chicago,+IL+60637/Gleason+Park,+3400+Jefferson+Street,+Gary,+IN+46406/@41.6667489,-87.5844846,18332m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e2914a3cdd94d:0x8367567039a0c5e1!2m2!1d-87.594302!2d41.794155!3m4!1m2!1d-87.5195946!2d41.6665668!3s0x8811d8c7efa45113:0x65455df9652b3d6!1m5!1m1!1s0x8811e9d33a4155a9:0xd2b45f5dbe15a037!2m2!1d-87.3406427!2d41.5638849!3e0	25.4	42
107	4	21	BF_DR	2015-08-13 15:57:37.939881	I-94 E	32.5 miles	53 min	42 min - 1 h 8 min	https://www.google.com/maps/dir/5527+S+Kimbark+Ave,+Chicago,+IL+60637/Gleason+Park,+3400+Jefferson+Street,+Gary,+IN+46406/@41.6557475,-87.5782109,21753m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e2914a3cdd94d:0x8367567039a0c5e1!2m2!1d-87.594302!2d41.794155!3m4!1m2!1d-87.592314!2d41.7072353!3s0x880e2644ee07d423:0xb6e8b481741e5451!1m5!1m1!1s0x8811e9d33a4155a9:0xd2b45f5dbe15a037!2m2!1d-87.3406427!2d41.5638849!3e0	32.5	53
3	4	22	LS	2015-08-13 15:56:39.280599	US-41 S	23.0 miles	59 min	52 min - 1 h 11 min	https://www.google.com/maps/dir/5527+S+Kimbark+Ave,+Chicago,+IL+60637/598+E+Dunes+Hwy,+Gary,+IN+46402/@41.6936797,-87.5080703,18331m/data=!3m1!1e3!4m21!4m20!1m10!1m1!1s0x880e2914a3cdd94d:0x8367567039a0c5e1!2m2!1d-87.594302!2d41.794155!3m4!1m2!1d-87.4820112!2d41.6408087!3s0x8811dec7089bcdbd:0xae14dc0db9abb344!1m5!1m1!1s0x8811c24fc629e9c3:0xf804ea068e5e7b8c!2m2!1d-87.329723!2d41.6020873!2m1!1b1!3e0	23.0	59
104	4	22	Sky	2015-08-13 15:57:36.191211	I-90 E	23.2 miles	34 min	32 - 42 min	https://www.google.com/maps/dir/5527+S+Kimbark+Ave,+Chicago,+IL+60637/598+E+Dunes+Hwy,+Gary,+IN+46402/@41.6016968,-87.3380993,1145m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e2914a3cdd94d:0x8367567039a0c5e1!2m2!1d-87.594302!2d41.794155!3m4!1m2!1d-87.3403514!2d41.6053876!3s0x8811c255fdb97b6b:0x5e950d89c8176c7b!1m5!1m1!1s0x8811c24fc629e9c3:0xf804ea068e5e7b8c!2m2!1d-87.329723!2d41.6020873!3e0	23.2	34
121	4	22	BF_DR	2015-08-13 15:57:46.730253	I-94 E	34.6 miles	58 min	46 min - 1 h 13 min	https://www.google.com/maps/dir/5527+S+Kimbark+Ave,+Chicago,+IL+60637/598+E+Dunes+Hwy,+Gary,+IN+46402/@41.6112525,-87.5701592,15419m/data=!3m1!1e3!4m21!4m20!1m10!1m1!1s0x880e2914a3cdd94d:0x8367567039a0c5e1!2m2!1d-87.594302!2d41.794155!3m4!1m2!1d-87.5785843!2d41.640643!3s0x880e20d8ae494f1f:0xe04c790bc9eb5adc!1m5!1m1!1s0x8811c24fc629e9c3:0xf804ea068e5e7b8c!2m2!1d-87.329723!2d41.6020873!2m1!2b1!3e0	34.6	58
5	4	23	BF_DR	2015-08-13 15:56:40.151474	S Stony Island Ave	18.1 miles	46 min	40 min - 1 h	https://www.google.com/maps/dir/5527+S+Kimbark+Ave,+Chicago,+IL+60637/899+E+Chicago+Ave,+East+Chicago,+IN+46312/@41.6820147,-87.5234255,10871m/data=!3m1!1e3!4m31!4m30!1m20!1m1!1s0x880e2914a3cdd94d:0x8367567039a0c5e1!2m2!1d-87.594302!2d41.794155!3m4!1m2!1d-87.5933416!2d41.7013604!3s0x880e265be9a7d19d:0xc8bdca6536a274c9!3m4!1m2!1d-87.5989645!2d41.6911087!3s0x880e26f4b2808481:0x9b3e8c89cc2c6bac!3m4!1m2!1d-87.5964077!2d41.6687035!3s0x880e26c723dda8bf:0x5f993ad976201c08!1m5!1m1!1s0x8811de9e69995165:0xc148f9a2c0dc6d25!2m2!1d-87.4617361!2d41.6292353!2m1!2b1!3e0	18.1	46
128	4	23	LS	2015-08-13 15:57:50.475889	US-41 S	15.5 miles	43 min	38 - 52 min	https://www.google.com/maps/dir/5527+S+Kimbark+Ave,+Chicago,+IL+60637/899+E+Chicago+Ave,+East+Chicago,+IN+46312/@41.7226908,-87.5409758,3855m/data=!3m1!1e3!4m21!4m20!1m10!1m1!1s0x880e2914a3cdd94d:0x8367567039a0c5e1!2m2!1d-87.594302!2d41.794155!3m4!1m2!1d-87.5391208!2d41.7260443!3s0x880e27f87c7c1767:0x7dfc6905b4f90c04!1m5!1m1!1s0x8811de9e69995165:0xc148f9a2c0dc6d25!2m2!1d-87.4617361!2d41.6292353!2m1!2b1!3e0	15.5	43
155	4	23	Sky	2015-08-13 15:58:05.770916	I-90 W	16.0 miles	31 min	28 - 37 min	https://www.google.com/maps/dir/899+E+Chicago+Ave,+East+Chicago,+IN+46312/5527+S+Kimbark+Ave,+Chicago,+IL+60637/@41.5739042,-87.5425192,41518m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x8811de9e69995165:0xc148f9a2c0dc6d25!2m2!1d-87.4617361!2d41.6292353!3m4!1m2!1d-87.5160776!2d41.6574089!3s0x8811d8cbc118247f:0x84828c4ea6bfcc93!1m5!1m1!1s0x880e2914a3cdd94d:0x8367567039a0c5e1!2m2!1d-87.594302!2d41.794155!3e0	16.0	31
0	4	24	BF_DR	2015-08-13 15:56:37.577022	I-94 E	42.0 miles	1 h 14 min	1 h 1 min - 1 h 32 min	https://www.google.com/maps/dir/5527+S+Kimbark+Ave,+Chicago,+IL+60637/14500+Morse+St,+Cedar+Lake,+IN+46303/@41.5567292,-87.580194,1149m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e2914a3cdd94d:0x8367567039a0c5e1!2m2!1d-87.594302!2d41.794155!3m4!1m2!1d-87.5836742!2d41.5563297!3s0x880e1f0b70af4f9b:0x55c8c29d6dbd448c!1m5!1m1!1s0x8811fbb4df27c617:0x9c37d3a830923b1c!2m2!1d-87.4218064!2d41.3551184!3e0	42.0	74
112	4	24	Sky	2015-08-13 15:57:41.036902	I-90 E and I-65 S	48.6 miles	1 h 6 min	1 h 3 min - 1 h 17 min	https://www.google.com/maps/dir/5527+S+Kimbark+Ave,+Chicago,+IL+60637/14500+Morse+St,+Cedar+Lake,+IN+46303/@41.6577976,-87.5817707,10922m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e2914a3cdd94d:0x8367567039a0c5e1!2m2!1d-87.594302!2d41.794155!3m4!1m2!1d-87.5192155!2d41.6654932!3s0x8811d8c7efa45113:0x65455df9652b3d6!1m5!1m1!1s0x8811fbb4df27c617:0x9c37d3a830923b1c!2m2!1d-87.4218064!2d41.3551184!3e0	48.6	66
134	4	24	LS	2015-08-13 15:57:53.795992	US-41 S	37.7 miles	1 h 22 min	1 h 15 min - 1 h 39 min	https://www.google.com/maps/dir/5527+S+Kimbark+Ave,+Chicago,+IL+60637/14500+Morse+St,+Cedar+Lake,+IN+46303/@41.6707631,-87.5044334,9172m/data=!3m1!1e3!4m26!4m25!1m15!1m1!1s0x880e2914a3cdd94d:0x8367567039a0c5e1!2m2!1d-87.594302!2d41.794155!3m4!1m2!1d-87.5417332!2d41.7276517!3s0x880e27f8fa97f937:0xeeef6d39d159c414!3m4!1m2!1d-87.5190215!2d41.6976081!3s0x8811d85e22d4a6b7:0x954b9993e6a02f35!1m5!1m1!1s0x8811fbb4df27c617:0x9c37d3a830923b1c!2m2!1d-87.4218064!2d41.3551184!2m1!2b1!3e0	37.7	82
41	4	25	BF_DR	2015-08-13 15:57:00.373522	State Road 2 W	69.7 miles	1 h 44 min	1 h 31 min - 2 h 2 min	https://www.google.com/maps/dir/5527+S+Kimbark+Ave,+Chicago,+IL+60637/199+E+Indiana+Ave,+Kouts,+IN+46347/@41.3893202,-87.5203613,43690m/data=!3m1!1e3!4m21!4m20!1m10!1m1!1s0x880e2914a3cdd94d:0x8367567039a0c5e1!2m2!1d-87.594302!2d41.794155!3m4!1m2!1d-87.4688971!2d41.304002!3s0x8811fecfc0cb7813:0xfc15b0a87df63add!1m5!1m1!1s0x8811867e866ea59f:0x18dd56f7f4a462dd!2m2!1d-87.0246114!2d41.3183005!2m1!2b1!3e0	69.7	104
68	4	25	LS	2015-08-13 15:57:15.907061	I-94 E	64.3 miles	1 h 31 min	1 h 21 min - 1 h 47 min	https://www.google.com/maps/dir/5527+S+Kimbark+Ave,+Chicago,+IL+60637/41.3183176,-87.0270319/@41.250981,-86.9874747,30871m/data=!3m1!1e3!4m16!4m15!1m10!1m1!1s0x880e2914a3cdd94d:0x8367567039a0c5e1!2m2!1d-87.594302!2d41.794155!3m4!1m2!1d-87.5416755!2d41.727622!3s0x880e27f8fa97f937:0xeeef6d39d159c414!1m0!2m1!2b1!3e0	64.3	91
148	4	25	Sky	2015-08-13 15:58:01.401729	I-90 E and IN-49 S	57.7 miles	1 h 10 min	1 h 7 min - 1 h 24 min	https://www.google.com/maps/dir/5527+S+Kimbark+Ave,+Chicago,+IL+60637/199+E+Indiana+Ave,+Kouts,+IN+46347/@41.6635793,-87.4881355,12991m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e2914a3cdd94d:0x8367567039a0c5e1!2m2!1d-87.594302!2d41.794155!3m4!1m2!1d-87.5193942!2d41.6659992!3s0x8811d8c7efa45113:0x65455df9652b3d6!1m5!1m1!1s0x8811867e866ea59f:0x18dd56f7f4a462dd!2m2!1d-87.0246114!2d41.3183005!3e0	57.7	70
37	4	26	Sky	2015-08-13 15:56:58.260005	I-90 E	33.1 miles	44 min	41 - 52 min	https://www.google.com/maps/dir/41.794184,-87.5949024/41.5881995,-87.1836656/@41.6743649,-87.5661762,12.25z/data=!4m9!4m8!1m5!3m4!1m2!1d-87.5193842!2d41.6659709!3s0x8811d8c7efa45113:0x65455df9652b3d6!1m0!3e0	33.1	44
52	4	26	BF_DR	2015-08-13 15:57:06.958706	I-94 E	41.9 miles	1 h 3 min	50 min - 1 h 20 min	https://www.google.com/maps/dir/41.794184,-87.5949024/41.5881995,-87.1836656/@41.6074952,-87.5708742,12.5z/data=!4m11!4m10!1m5!3m4!1m2!1d-87.5788698!2d41.5793682!3s0x880e202b1cd1c9f3:0x3893de4e8591ce88!1m0!2m1!2b1!3e0	41.9	63
55	4	26	LS	2015-08-13 15:57:08.591088	I-94 E	36.7 miles	1 h 5 min	59 min - 1 h 19 min	https://www.google.com/maps/dir/41.794184,-87.5949024/41.5881995,-87.1836656/@41.6520349,-87.5010196,12.25z/data=!4m11!4m10!1m5!3m4!1m2!1d-87.5352866!2d41.7207119!3s0x8811d80948872e19:0xf7ef121c182526cc!1m0!2m1!2b1!3e0	36.7	65
30	5	20	BF_DR	2015-08-13 15:56:54.211299	I-94 E	14.5 miles	26 min	21 - 37 min	https://www.google.com/maps/dir/Sherman+Dr,+Chicago,+IL+60609/41.658386,+-87.559140/@41.6855303,-87.601382,18316m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e2e8ab2543987:0xfdcf1ab06595c032!2m2!1d-87.6555058!2d41.7967232!3m4!1m2!1d-87.5751658!2d41.6591962!3s0x880e272b92d5d5cf:0x4735572d50825157!1m5!1m1!1s0x0:0x0!2m2!1d-87.55914!2d41.658386!3e0	14.5	26
140	5	20	Sky	2015-08-13 15:57:57.230683	I-90 E and S Torrence Ave	13.0 miles	27 min	24 - 35 min	https://www.google.com/maps/dir/Sherman+Dr,+Chicago,+IL+60609/41.658386,+-87.559140/@41.7119279,-87.6121603,7700m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e2e8ab2543987:0xfdcf1ab06595c032!2m2!1d-87.6555058!2d41.7967232!3m4!1m2!1d-87.5596408!2d41.7057511!3s0x880e27bd5738ec01:0xe75a34964be440aa!1m5!1m1!1s0x0:0x0!2m2!1d-87.55914!2d41.658386!3e0	13.0	27
86	5	21	Sky	2015-08-13 15:57:25.800495	I-90 E	27.6 miles	42 min	37 - 50 min	https://www.google.com/maps/dir/Sherman+Dr,+Chicago,+IL+60609/Gleason+Park,+3400+Jefferson+Street,+Gary,+IN+46406/@41.6555091,-87.6031892,25890m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e2e8ab2543987:0xfdcf1ab06595c032!2m2!1d-87.6555058!2d41.7967232!3m4!1m2!1d-87.5192623!2d41.6656257!3s0x8811d8c7efa45113:0x65455df9652b3d6!1m5!1m1!1s0x8811e9d33a4155a9:0xd2b45f5dbe15a037!2m2!1d-87.3406427!2d41.5638849!3e0	27.6	42
142	5	21	BF_DR	2015-08-13 15:57:58.257331	I-94 E	31.9 miles	43 min	37 min - 1 h 1 min	https://www.google.com/maps/dir/Sherman+Dr,+Chicago,+IL+60609/Gleason+Park,+3400+Jefferson+Street,+Gary,+IN+46406/@41.642086,-87.5417491,10904m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e2e8ab2543987:0xfdcf1ab06595c032!2m2!1d-87.6555058!2d41.7967232!3m4!1m2!1d-87.5785879!2d41.6410608!3s0x880e20d8ae494f1f:0xe04c790bc9eb5adc!1m5!1m1!1s0x8811e9d33a4155a9:0xd2b45f5dbe15a037!2m2!1d-87.3406427!2d41.5638849!3e0	31.9	43
